Toto si traktor cerdas;toto-si-traktor-cerdas;Pusat Perpustakaan dan Penyebaran Teknologi Pertanian;NULL;NULL;NULL;application/pdf;NULL;ISBN 978 9798191 824;3247.71;NULL;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/totositraktorcerdas.pdf
Aneka olahan sukun;aneka-olahan-sukun;Pusat Perpustakaan dan Penyebaran Teknologi Pertanian;NULL;NULL;NULL;;NULL;ISBN 978 9798191 817;;NULL;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/
Aneka olahan sukun;aneka-olahan-sukun;Pusat Perpustakaan dan Penyebaran Teknologi Pertanian;NULL;NULL;NULL;application/pdf;NULL;ISBN 978 9798191 817;1314.62;NULL;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/anekaolahansukun.pdf
Aku dan bumiku : hijau bumiku;aku-dan-bumiku-hijau-bumiku;Pusat Perpustakaan dan Penyebaran Teknologi Pertanian;NULL;NULL;NULL;application/pdf;NULL;978 9798191 718;4477.25;NULL;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/akudanbumikuhijaubumiku.pdf
Aku dan bumiku : hanyutnya sekolah kami;aku-dan-bumiku-hanyutnya-sekolah-kami;Pusat Perpustakaan dan Penyebaran Teknologi Pertanian;NULL;NULL;NULL;application/pdf;NULL;978 9798191 725;4669.24;NULL;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/akudanbumikuhanyutnyasekolahkami.pdf
Aku dan bumiku : banjir dan longsor;aku-dan-bumiku-banjir-dan-longsor;Pusat Perpustakaan dan Penyebaran Teknologi Pertanian;NULL;NULL;NULL;application/pdf;NULL;ISBN 978 9798191 718;213.28;NULL;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/2.pdf
Aku dan bumiku : banjir dan longsor;aku-dan-bumiku-banjir-dan-longsor;Pusat Perpustakaan dan Penyebaran Teknologi Pertanian;NULL;NULL;NULL;application/pdf;NULL;ISBN 978 9798191 718;1694.68;NULL;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/akudanbumikubanjirdanlongsor.pdf
Model pengembangan kawasan rumah pangan lestari;model-pengembangan-kawasan-rumah-pangan-lestari;Sumarmiyati;NULL;NULL;NULL;application/pdf;NULL;;647.9;NULL;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/Soetiarso_indigenous.pdf
Pengelolaan Laboratorium Diseminasi lingkup Badan Penelitian dan Pengembangan Pertanian;pengelolaan-laboratorium-diseminasi-lingkup-badan-penelitian-dan-pengembangan-pertanian;;NULL;NULL;NULL;;NULL;090;;NULL;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/
Pengelolaan Laboratorium Diseminasi lingkup Badan Penelitian dan Pengembangan Pertanian;pengelolaan-laboratorium-diseminasi-lingkup-badan-penelitian-dan-pengembangan-pertanian;;NULL;NULL;NULL;application/pdf;NULL;090;68.72;NULL;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/04-M-Muchlish_A.pdf
Pengelolaan Laboratorium Diseminasi lingkup Badan Penelitian dan Pengembangan Pertanian;pengelolaan-laboratorium-diseminasi-lingkup-badan-penelitian-dan-pengembangan-pertanian;;NULL;NULL;NULL;x-unknown/pdf;NULL;090;297547;NULL;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/Juknis_lab_diseminasi_2013.pdf
Teh Organik;teh-organik;Nana Sutrisna;NULL;NULL;NULL;;NULL;978-979-3595-31-3;;NULL;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/
