"Keputusan dan Lampiran Panduan Monev";;;"Biro Hubungan Masyarakat dan Informasi Publik";2013;pdf;;;;;"http://ppid.pertanian.go.id/doc/1/Keputusan Menteri/Keputusan dan Lampiran Panduan Monev.pdf"
"Keynote Speech Irjen Raker PPID 2014";;;"Biro Hubungan Masyarakat dan Informasi Publik";2014;pdf;;;;;"http://ppid.pertanian.go.id/doc/1/Bahan RAKER PPID 2014/Keynote Speech Irjen Raker PPID 2014.pdf"
"Permentan 41 Tahun 2012 Tentang Pedoman Uji Konsekuaensi";;;"Biro Hubungan Masyarakat dan Informasi Publik";2014;pdf;;;;;"http://ppid.pertanian.go.id/doc/1/Peraturan Menteri/Permentan 41 Tahun 2012 Tentang Pedoman Uji Konsekuaensi.pdf"
"Sidang Ajudikasi Sengketa";;;"Biro Hubungan Masyarakat dan Informasi Publik";2014;pdf;;;;;"http://ppid.pertanian.go.id/doc/1/Bahan RAKER PPID 2014/Komisi Informasi_Sidang Ajudikasi Sengketa.pdf"
"Komitmen Bersama Keterbukaan IP";;;"Biro Hubungan Masyarakat dan Informasi Publik";2014;pdf;;;;;"http://ppid.pertanian.go.id/doc/1/Bahan RAKER PPID 2014/Komitmen Bersama Keterbukaan IP.pdf"
"PELATIHAN DI KANTOR SENDIRI.pptx";;;"Inspektorat Jenderal";2014;pptx;;;;;"http://itjen.ppid.pertanian.go.id/doc/23/PELATIHAN DI KANTOR SENDIRI.pptx"
F-7-Rekap-Keberatan;;;"Biro Hubungan Masyarakat dan Informasi Publik";2013;pdf;;;;;"http://ppid.pertanian.go.id/doc/1/Form PPID/F-7-Rekap-Keberatan.pdf"
F-4-Perpanjangan_Waktu;;;"Biro Hubungan Masyarakat dan Informasi Publik";2013;pdf;;;;;"http://ppid.pertanian.go.id/doc/1/Form PPID/F-4-Perpanjangan_Waktu.pdf"
"KLASIFIKASI INFORMASI PUBLIK DIUMUMKAN SECARA SERTA MERTA_2011.pdf";;;"Biro Hubungan Masyarakat dan Informasi Publik";2013;pdf;;;;;"http://ppid.pertanian.go.id/doc/1/Informasi Publik yang Dikuasai Thn 2011/KLASIFIKASI INFORMASI PUBLIK DIUMUMKAN SECARA SERTA MERTA_2011.pdf"
"Buku Saku PPID";;;"Biro Hubungan Masyarakat dan Informasi Publik";2013;pdf;;;;;"http://ppid.pertanian.go.id/doc/1/Form PPID/Buku_Saku_PPID.pdf"
F-5-Penolakan_Permohonan;;;"Biro Hubungan Masyarakat dan Informasi Publik";2013;pdf;;;;;"http://ppid.pertanian.go.id/doc/1/Form PPID/F-5-Penolakan_Permohonan.pdf"
F-3-Pemberitahuan_tertulis;;;"Biro Hubungan Masyarakat dan Informasi Publik";2013;pdf;;;;;"http://ppid.pertanian.go.id/doc/1/Form PPID/F-3-Pemberitahuan_tertulis.pdf"
F-2-Tanda_Bukti_Penerimaan_Permintaan_IP;;;"Biro Hubungan Masyarakat dan Informasi Publik";2013;pdf;;;;;"http://ppid.pertanian.go.id/doc/1/Form PPID/F-2-Tanda_Bukti_Penerimaan_Permintaan_IP.pdf"
F-6-Keberatan;;;"Biro Hubungan Masyarakat dan Informasi Publik";2013;pdf;;;;;"http://ppid.pertanian.go.id/doc/1/Form PPID/F-6-Keberatan.pdf"
"KLASIFIKASI INFORMASI PUBLIK TERSEDIA SETIAP SAAT Thn 2011";;;"Biro Hubungan Masyarakat dan Informasi Publik";2013;pdf;;;;;"http://ppid.pertanian.go.id/doc/1/Informasi Publik yang Dikuasai Thn 2011/KLASIFIKASI INFORMASI PUBLIK TERSEDIA SETIAP SAAT_2011.pdf"
"KLASIFIKASI INFORMASI PUBLIK DIUMUMKAN SECARA BERKALA_2011.pdf";;;"Biro Hubungan Masyarakat dan Informasi Publik";2013;pdf;;;;;"http://ppid.pertanian.go.id/doc/1/Informasi Publik yang Dikuasai Thn 2011/KLASIFIKASI INFORMASI PUBLIK DIUMUMKAN SECARA BERKALA_2011.pdf"
"F 1B_Permohonan_IP_Badan Hukum";;;"Biro Hubungan Masyarakat dan Informasi Publik";2013;pdf;;;;;"http://ppid.pertanian.go.id/doc/1/Form PPID/F-1B-Permohonan_IP_Badan Hukum-Kelompok.pdf"
"ndang-Undang No 14 Thn 2008 tentang Keterbukaan Informasi Publik";;;"Sekretariat Jenderal";2013;pdf;;;;;http://ppid.pertanian.go.id/doc/1/Undang-undang/Undang-Undang_No_14_Thn_2008_KIP.pdf
Permentan_Nomor_32_Tahun_2011.pdf;;;"Sekretariat Jenderal";2013;pdf;;;;;"http://ppid.pertanian.go.id/doc/1/Peraturan Menteri/Permentan_Nomor_32_Tahun_2011.pdf"
